
1E,95,22,51,51,41,54,39,20,73,AA,11,23,FF,41,0F,05,FF,FF,FF,16,07,17,06,57,06,97,06,D6,06,EF,F8,8B,EB,02,09,08,0E,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,
1E,95,22,51,51,41,54,39,20,13,67,1E,20,FF,3D,10,06,FF,FF,FF,15,07,1B,04,5B,04,99,05,D8,05,EF,F8,88,D4,06,0D,04,0B,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,
1E,95,22,51,51,41,54,39,20,53,82,19,25,FF,3E,0F,05,FF,FF,FF,15,08,16,06,56,06,96,06,D5,06,EF,F8,8B,E3,FD,04,02,09,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,
1E,95,22,51,51,41,54,39,20,B3,54,06,26,FF,3D,10,06,FF,FF,FF,18,07,18,05,58,05,97,05,D6,05,EF,F8,88,C7,08,10,FE,05,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,
1E,95,22,51,51,41,54,39,20,13,49,4A,24,FF,42,0E,06,FF,FF,FF,14,06,13,06,53,06,93,06,D2,06,EF,F8,88,D2,FD,05,03,09,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,
1E,95,22,51,51,41,54,39,20,53,78,42,26,FF,40,10,05,FF,FF,FF,14,06,15,06,55,06,94,06,D3,06,EF,F8,84,C2,04,0D,F9,00,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,
1E,95,22,51,51,41,54,39,20,93,36,2C,24,FF,40,0F,05,FF,FF,FF,13,07,15,06,55,06,94,06,D3,06,EF,F8,87,CB,07,0E,FC,02,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,
1E,95,22,51,51,41,54,39,20,33,B2,28,21,FF,41,10,05,FF,FF,FF,14,07,14,06,54,06,94,06,D3,06,EF,F8,86,D6,00,07,06,0C,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,
1E,95,22,51,51,41,54,39,20,F3,99,4E,23,FF,41,0E,05,FF,FF,FF,15,07,1B,03,5B,03,99,04,D8,04,EF,F8,89,F1,02,0B,08,10,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,
1E,93,29,30,41,50,53,53,49,79,E3,35,0C,FF,3C,0F,05,FF,FF,FF,12,08,FF,FF,B2,05,34,04,FF,FF,E0,F8,89,01,FF,FF,FF,FF,FF,FF,AE,F4,E3,FC,1F,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,E7,0D,
1E,95,26,30,43,4D,4E,32,43,68,86,38,1F,FF,43,0D,06,FF,FF,FF,13,08,FF,FF,B9,03,38,03,FF,FF,E0,F8,88,EF,FF,FF,FF,FF,FF,FF,AE,F4,E3,FC,1F,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,FF,1B,75,
